SITEID,STARTDATE,ENDDATE,PBM,GOM,GEM,Valid_gem,gemValPct
VT99,1/12/2009 22:05,1/13/2009 0:05,24.565,0.952,1.707,22,100
VT99,1/13/2009 1:05,1/13/2009 3:05,30.285,1.433,1.714,22,100
VT99,1/13/2009 4:05,1/13/2009 6:05,26.578,1.675,1.734,22,100
VT99,1/13/2009 7:05,1/13/2009 9:05,24.086,2.395,1.747,22,100
VT99,1/13/2009 10:05,1/13/2009 12:05,25.216,3.148,1.729,22,100
VT99,1/13/2009 13:05,1/13/2009 15:05,22.061,5.687,1.777,22,100
VT99,1/13/2009 16:00,1/13/2009 19:05,15.627,4.659,1.779,23,65
VT99,1/13/2009 20:05,1/13/2009 22:05,16.794,2.869,1.77,22,100
VT99,1/13/2009 23:05,1/14/2009 1:05,14.502,2.286,1.749,22,100
VT99,1/14/2009 2:05,1/14/2009 4:05,13.092,2.254,1.775,22,100
VT99,1/14/2009 5:05,1/14/2009 7:05,8.712,1.607,1.72,22,100
VT99,1/14/2009 8:05,1/14/2009 10:05,16.447,0.48,1.647,22,100
VT99,1/14/2009 11:05,1/14/2009 13:05,46.529,0.592,1.586,22,100
VT99,1/14/2009 14:05,1/14/2009 16:05,36.376,0.749,1.602,22,100
VT99,1/14/2009 17:00,1/14/2009 20:05,31.256,3.096,1.641,23,65
VT99,1/14/2009 21:05,1/14/2009 23:05,47.508,1.864,1.605,22,100
VT99,1/15/2009 0:05,1/15/2009 2:05,34.922,1.046,1.595,22,100
VT99,1/15/2009 3:05,1/15/2009 5:05,28.04,1.208,1.611,22,100
VT99,1/15/2009 6:10,1/15/2009 8:10,26.123,1.729,1.628,22,100
VT99,1/15/2009 9:10,1/15/2009 11:10,27.191,0.802,1.601,22,100
VT99,1/15/2009 12:10,1/15/2009 14:10,31.951,0.064,1.634,22,100
VT99,1/15/2009 15:10,1/15/2009 17:10,32.082,0,1.643,22,100
VT99,1/15/2009 18:05,1/15/2009 21:05,37.205,0.178,1.626,24,70
VT99,1/15/2009 22:05,1/16/2009 0:05,34.363,3.406,1.635,22,100
VT99,1/16/2009 1:05,1/16/2009 3:05,45.398,1.023,1.65,22,100
VT99,1/16/2009 4:05,1/16/2009 6:05,40.946,1.903,1.673,22,100
VT99,1/16/2009 7:05,1/16/2009 9:05,58.869,2.055,1.642,22,100
VT99,1/16/2009 10:05,1/16/2009 12:05,52.374,2.008,1.633,22,100
VT99,1/16/2009 13:05,1/16/2009 15:05,45.051,2.081,1.656,22,100
VT99,1/16/2009 16:05,1/16/2009 18:05,45.689,2.136,1.646,22,100
VT99,1/16/2009 19:00,1/16/2009 22:05,28.721,1.802,1.673,23,65
VT99,1/16/2009 23:05,1/17/2009 1:05,34.191,1.438,1.651,22,100
VT99,1/17/2009 2:05,1/17/2009 4:05,43.082,1.75,1.636,22,100
VT99,1/17/2009 5:05,1/17/2009 7:05,44.664,1.423,1.65,22,100
VT99,1/17/2009 8:05,1/17/2009 10:05,25.074,0,1.683,22,100
VT99,1/17/2009 11:05,1/17/2009 13:05,21.084,0.062,1.705,22,100
VT99,1/17/2009 14:05,1/17/2009 16:05,23.746,0,1.718,22,100
VT99,1/17/2009 17:05,1/17/2009 19:05,26.599,5.686,1.726,22,100
VT99,1/17/2009 20:00,1/17/2009 23:05,30.871,2.004,1.718,23,65
VT99,1/18/2009 0:05,1/18/2009 2:05,35.311,2.297,1.69,22,100
VT99,1/18/2009 3:05,1/18/2009 5:05,37.683,2.2,1.68,22,100
VT99,1/18/2009 6:05,1/18/2009 8:05,24.332,2.339,1.699,22,100
VT99,1/18/2009 9:05,1/18/2009 11:05,23.322,2.246,1.697,22,100
VT99,1/18/2009 12:05,1/18/2009 14:05,23.43,3.756,1.718,22,100
VT99,1/18/2009 15:05,1/18/2009 17:05,18.047,5.441,1.724,22,100
VT99,1/18/2009 18:05,1/18/2009 20:05,19.172,2.837,1.726,22,100
VT99,1/18/2009 21:00,1/19/2009 0:05,20.27,3.727,1.733,23,65
VT99,1/19/2009 1:05,1/19/2009 3:05,17.751,0.515,1.746,22,100
VT99,1/19/2009 4:05,1/19/2009 6:05,17.742,1.051,1.741,22,100
VT99,1/19/2009 7:05,1/19/2009 9:05,18.465,0.764,1.723,22,100
VT99,1/19/2009 10:05,1/19/2009 12:05,17.489,0.421,1.716,22,100
VT99,1/19/2009 13:05,1/19/2009 15:05,14.232,-0.921,1.745,22,100
VT99,1/19/2009 16:05,1/19/2009 18:05,20.135,-0.705,1.764,22,100
VT99,1/19/2009 19:05,1/19/2009 21:05,21.78,-0.865,1.78,22,100
VT99,1/19/2009 22:00,1/20/2009 1:05,18.032,-1.029,1.809,23,65
VT99,1/20/2009 2:05,1/20/2009 4:05,20.125,-0.804,1.788,22,100
VT99,1/20/2009 5:05,1/20/2009 7:05,21.383,-0.687,1.798,22,100
VT99,1/20/2009 8:05,1/20/2009 10:05,30.888,-0.495,1.873,22,100
VT99,1/20/2009 11:05,1/20/2009 13:05,20.303,0,1.842,22,100
VT99,1/20/2009 14:05,1/20/2009 16:05,50.161,-0.072,1.935,22,100
VT99,1/20/2009 17:05,1/20/2009 19:05,27.347,38.875,1.919,22,100
VT99,1/20/2009 20:05,1/20/2009 22:05,21.502,2.863,1.752,22,100
VT99,1/20/2009 23:00,1/21/2009 2:05,20.158,2.395,1.828,23,65
VT99,1/21/2009 3:05,1/21/2009 5:05,20.869,1.879,1.704,22,100
VT99,1/21/2009 6:05,1/21/2009 8:05,22.863,1.54,1.696,22,100
VT99,1/21/2009 9:05,1/21/2009 11:05,38.217,1.28,1.655,22,100
VT99,1/21/2009 12:05,1/21/2009 14:05,34.384,1.205,1.66,22,100
VT99,1/21/2009 15:05,1/21/2009 17:05,41.755,1.302,1.672,22,100
VT99,1/21/2009 18:05,1/21/2009 20:05,35.104,0,1.669,22,100
VT99,1/21/2009 21:05,1/21/2009 23:05,23.487,0,1.661,22,100
VT99,1/22/2009 0:00,1/22/2009 3:05,14.984,4.538,1.711,23,65
VT99,1/22/2009 4:05,1/22/2009 6:05,19.32,2.9,1.755,22,100
VT99,1/22/2009 7:05,1/22/2009 9:05,23.889,3.537,1.766,22,100
VT99,1/22/2009 10:05,1/22/2009 12:05,25.415,3.365,1.77,22,100
VT99,1/22/2009 13:05,1/22/2009 15:05,22.942,2.338,1.772,22,100
VT99,1/22/2009 16:05,1/22/2009 18:05,23.077,3.074,1.795,22,100
VT99,1/22/2009 19:05,1/22/2009 21:05,21.11,0,1.79,22,100
VT99,1/22/2009 22:05,1/23/2009 0:05,18.78,-0.36,1.773,22,100
VT99,1/23/2009 1:00,1/23/2009 4:05,7.404,-0.567,1.679,20,57
VT99,1/23/2009 5:05,1/23/2009 7:05,7.95,0,1.691,22,100
VT99,1/23/2009 8:05,1/23/2009 10:05,6.269,11.082,1.682,22,100
VT99,1/23/2009 11:05,1/23/2009 13:05,11.881,0.494,1.653,22,100
VT99,1/23/2009 14:05,1/23/2009 16:05,9.183,0.529,1.699,22,100
VT99,1/23/2009 17:05,1/23/2009 19:05,17.699,2.343,1.755,22,100
VT99,1/23/2009 20:05,1/23/2009 22:05,27.55,4.044,1.77,22,100
VT99,1/23/2009 23:05,1/24/2009 1:05,27.094,3.233,1.786,22,100
VT99,1/24/2009 2:00,1/24/2009 5:05,22.281,2.359,1.857,23,65
VT99,1/24/2009 6:05,1/24/2009 8:05,20.757,4.257,1.887,22,100
VT99,1/24/2009 9:05,1/24/2009 11:05,12.972,1.793,1.7,22,100
VT99,1/24/2009 12:05,1/24/2009 14:05,15.068,0.503,1.646,22,100
VT99,1/24/2009 15:05,1/24/2009 17:05,-9,0.552,1.628,22,100
VT99,1/24/2009 18:05,1/24/2009 20:05,45.096,1.551,1.595,22,100
VT99,1/24/2009 21:05,1/24/2009 23:05,52.804,1.438,1.567,22,100
VT99,1/25/2009 0:05,1/25/2009 2:05,42.232,0.953,1.607,22,100
VT99,1/25/2009 3:00,1/25/2009 6:05,42.055,1.403,1.583,23,65
VT99,1/25/2009 7:05,1/25/2009 9:05,45.761,1.54,1.603,22,100
VT99,1/25/2009 10:05,1/25/2009 12:05,44.545,1.446,1.616,22,100
VT99,1/25/2009 13:05,1/25/2009 15:05,28.319,0.736,1.642,22,100
VT99,1/25/2009 16:05,1/25/2009 18:05,28.362,2.061,1.66,22,100
VT99,1/25/2009 19:05,1/25/2009 21:05,31.384,2.269,1.661,22,100
VT99,1/25/2009 22:05,1/26/2009 0:05,30.225,2.322,1.681,22,100
VT99,1/26/2009 1:10,1/26/2009 3:10,45.629,2.467,1.631,22,100
VT99,1/26/2009 4:05,1/26/2009 7:05,35.814,1.489,1.643,23,67
VT99,1/26/2009 8:05,1/26/2009 10:05,35.972,0.782,1.656,22,100
VT99,1/26/2009 11:05,1/26/2009 13:05,38.237,0.885,1.666,22,100
VT99,1/26/2009 14:05,1/26/2009 16:05,43.695,1.379,1.686,22,100
VT99,1/26/2009 18:05,1/26/2009 20:05,-9,-9,1.853,22,100
VT99,1/26/2009 21:05,1/26/2009 23:05,10.142,1.794,1.728,17,80
VT99,1/27/2009 0:05,1/27/2009 2:05,32.969,2.159,1.822,21,95
VT99,1/27/2009 3:05,1/27/2009 5:05,35.929,2.772,1.842,22,100
VT99,1/27/2009 6:00,1/27/2009 9:05,26.04,2.108,1.789,23,65
VT99,1/27/2009 10:05,1/27/2009 12:05,28.302,2.013,1.736,22,100
VT99,1/27/2009 13:05,1/27/2009 15:05,32.984,1.2,1.723,22,100
VT99,1/27/2009 16:05,1/27/2009 18:05,36.427,1.924,1.722,22,100
VT99,1/27/2009 19:05,1/27/2009 21:05,45.118,2.277,1.688,22,100
VT99,1/27/2009 22:05,1/28/2009 0:05,52.518,1.738,1.669,22,100
VT99,1/28/2009 1:05,1/28/2009 3:05,36.003,1.826,1.718,22,100
VT99,1/28/2009 4:05,1/28/2009 6:05,48.916,2.389,1.689,22,100
VT99,1/28/2009 7:00,1/28/2009 10:05,26.459,0,1.694,23,65
VT99,1/28/2009 11:05,1/28/2009 13:05,25.669,2.579,1.716,22,100
VT99,1/28/2009 14:05,1/28/2009 16:05,32.891,2.65,1.713,22,100
VT99,1/28/2009 17:05,1/28/2009 19:05,27.349,2.164,1.715,22,100
VT99,1/28/2009 20:05,1/28/2009 22:05,19.591,0.828,1.717,22,100
VT99,1/28/2009 23:05,1/29/2009 1:05,11.059,0.804,1.724,22,100
VT99,1/29/2009 2:05,1/29/2009 4:05,10.033,0.77,1.704,22,100
VT99,1/29/2009 5:05,1/29/2009 7:05,13.768,1.126,1.747,22,100
VT99,1/29/2009 8:00,1/29/2009 11:05,19.885,1.009,1.756,23,65
VT99,1/29/2009 12:05,1/29/2009 14:05,28.461,0.809,1.737,22,100
VT99,1/29/2009 15:05,1/29/2009 17:05,29.406,1.821,1.736,22,100
VT99,1/29/2009 18:05,1/29/2009 20:05,37.761,2.961,1.734,22,100
VT99,1/29/2009 21:05,1/29/2009 23:05,32.628,2.279,1.719,22,100
VT99,1/30/2009 0:05,1/30/2009 2:05,31.879,2.828,1.715,22,100
VT99,1/30/2009 3:05,1/30/2009 5:05,32.961,2.015,1.702,22,100
VT99,1/30/2009 6:05,1/30/2009 8:05,29.88,2.599,1.764,22,100
VT99,1/30/2009 9:00,1/30/2009 12:05,27.632,2.947,1.789,23,65
VT99,1/30/2009 13:05,1/30/2009 15:05,22.912,3.431,1.83,22,100
VT99,1/30/2009 16:05,1/30/2009 18:05,17.341,4.443,1.86,22,100
VT99,1/30/2009 20:05,1/30/2009 22:05,6.663,4.358,1.817,22,100
VT99,1/30/2009 23:05,1/31/2009 1:05,9.045,1.572,1.793,22,100
VT99,1/31/2009 2:05,1/31/2009 4:05,9.403,0.769,1.795,22,100
VT99,1/31/2009 5:05,1/31/2009 7:05,13.28,1.274,1.76,22,100
VT99,1/31/2009 8:05,1/31/2009 10:05,15.202,0.681,1.758,22,100
VT99,1/31/2009 11:05,1/31/2009 13:05,13.203,0.504,1.684,22,100
VT99,1/31/2009 14:05,1/31/2009 16:05,21.771,0.765,1.669,22,100
VT99,1/31/2009 17:05,1/31/2009 19:05,40.836,1.371,1.628,22,100
VT99,1/31/2009 20:00,1/31/2009 23:05,33.33,2.172,1.63,23,65
VT99,2/1/2009 0:05,2/1/2009 2:05,48.012,2.713,1.634,22,100
VT99,2/1/2009 3:05,2/1/2009 5:05,50.127,2.011,1.649,22,100
VT99,2/1/2009 6:05,2/1/2009 8:05,38.228,1.948,1.646,22,100
VT99,2/1/2009 9:05,2/1/2009 11:05,27.853,2.109,1.681,22,100
VT99,2/1/2009 12:05,2/1/2009 14:05,16.029,8.053,1.782,22,100
VT99,2/1/2009 15:10,2/1/2009 17:10,17.296,12.591,1.807,22,100
VT99,2/1/2009 18:10,2/1/2009 20:10,17.753,5.781,1.776,22,100
VT99,2/1/2009 21:05,2/2/2009 0:05,16.16,4.076,1.794,24,70
VT99,2/2/2009 1:05,2/2/2009 3:05,15.514,2.954,1.756,22,100
VT99,2/2/2009 4:05,2/2/2009 6:05,16.708,4.24,1.743,22,100
VT99,2/2/2009 7:05,2/2/2009 9:05,15.798,4.853,1.761,22,100
VT99,2/2/2009 10:05,2/2/2009 12:05,13.783,6.775,1.761,22,100
VT99,2/2/2009 13:05,2/2/2009 15:05,13.408,6.361,1.78,22,100
VT99,2/2/2009 16:05,2/2/2009 18:05,14.022,3.322,1.761,21,95
VT99,2/2/2009 19:05,2/2/2009 21:05,19.724,3.098,1.68,22,100
